name,date,notes,year
Lookingforanewhome, May 27, Delaware R – “catastrophic sesamoid fractures”,2019
Sidneyway, May 27, Louisiana R – “sudden death” (four years old),2019
Rebel Vow, May 27, Parx R – “fractured ankle”,2019
Super Bound, May 27, Prairie R – “crashed into gates”,2019
Iza Secret, May 27," Remington R – “collapsed, tried to get up, no control of hind limbs”",2019
Lil Lexie Lake, May 27, Remington R – “slab fracture”,2019
Current Times, May 27," Santa Anita S – “skull fracture, bleeding from nostrils/ears”",2019
No Contingency, May 28, Parx R – “fractured ankle” (59th race),2019
Two Step Time, May 28, Presque Isle S – “illness” (last raced Apr 13),2019
Mercusio, May 29, Delaware T – “collapsed – sudden death” (three),2019
A Skinnydipper, May 29, Indiana R – “fractured radius”,2019
Beau Dan, May 30," Belterra R – “open, compound, disarticulated fracture”",2019
Weather, May 30, Charles Town T – “shoulder fracture”,2019
A Certified Heart, May 30, Delta R – “carpal fracture”,2019
Dempsey, May 30, Gulfstream R – “pulled up in distress”,2019
Harkins Hall, May 30, Prairie R – “sesamoid and suspensory”,2019
Despain Gl, May 30," Remington R – “metacarpal fracture, sesamoid fracture”",2019
Irish Miss, May 31," Belterra R – “legs collapsed – pelvic fracture, spinal cord trauma”",2019
Heaven Rocks, Jun 1," Buffalo R (died three days later) – “in distress, collapsed”",2019
Private Star, Jun 1, Emerald T – “fractured carpal”,2019
Magnum Maduro, Jun 1, Lone Star R – “sesamoid fracture”,2019
Altercation, Jun 1, Meadows R – “sudden death”,2019
Miss Gee's Love, Jun 1, Parx R – “fractured ankle”,2019
All My Heart, Jun 2, Emerald R – “fractured carpal”,2019
Alive and Well, Jun 2, Golden Gate R – “[multiple] fractures and ruptures”,2019
Queen Shelly Ann, Jun 2," Ruidoso R – “broken, disarticulated cannon bone”",2019
Coronas Al Jaguar, Jun 2," Sunray R – “collapse, pulmonary hemorrhage” (two years old)",2019
Rapid Assent, Jun 4, Indiana R – “fractured fetlock”,2019
A. P. Royal, June 4, Parx T – “fractured ankle”,2019
Derby River, Jun 5," Santa Anita T – “[shoulder] fracture, massive hemorrhage”",2019
Street Dancer, Jun 6, Churchill T – “open fractures both sesamoids”,2019
Cadiz, Jun 6, Delaware T – “condylar fracture”,2019
Zoomin for Chablis, Jun 6, Delta R – “displaced fracture”,2019
Quizlet, June 6, Penn S – “infection”,2019
Eagle Dance, Jun 6, Penn R – “suffered catastrophic injuries to both front ankles”,2019
unidentified, Jun 7," Churchill S – “found dead – acute, blunt trauma to neck”",2019
Guardianne, Jun 7," Delta R – “neurologic, paresis/paralysis”",2019
Glenwheresmymoney, Jun 7, Emerald R – “pulmonary hemorrhage”,2019
Mysterious Kingdom, Jun 7, Prairie R – “carpal fracture”,2019
Investment Analyst, Jun 7, Saratoga T – “sustained leg injury necessitating euthanasia”,2019
Tressels Going Grand, Jun 8, Delta R (euthanized Jun 9) – “unknown”,2019
Prime Candidate, Jun 8, Gulfstream T,2019
Moro Chief, Jun 8, Lone Star R – “fetlock disarticulation”,2019
Heroic Street Boss, Jun 8, Prairie R – “carpal fracture”,2019
Nick's Rose, Jun 8, Presque Isle S – “illness” (last raced Mar 23),2019
Need No Reason V, Jun 8," Ruidoso S – “colic” (died, not euthanized; two years old)",2019
Formal Dude, Jun 8, Santa Anita R – “catastrophic pelvic fracture”,2019
Successful Mission, Jun 9, Belmont T – “sustained fractures while breezing”,2019
Inflection, Jun 9," Belmont R – “pulled up, vanned off, euthanized”",2019
M G Dashing Secrets, Jun 9, Fair Meadows R – “carpus fracture”,2019
Reno Grande, Jun 9, Laurel R – “flipped and broke its femur”,2019
Truffalino, Jun 9," Santa Anita R – “horse collapsed, then expired” (three years old)",2019
I Miss Jumbo, Jun 9, Thistledown T – “broken pelvis”,2019
Calmack, Jun 10," Louisiana R – “disarticulation – severe, acute”",2019
Honest Bandit, Jun 11, Louisiana R (euthanized Jun 12) – “acute condylar fracture”,2019
Coraline, Jun 11, Thistledown R – “fractured ankle – displaced”,2019
Sweet Lou's Blues, Jun 12, Harrah’s R – “fractured RH”,2019
My Majestic Rose, Jun 12," Keeneland T – “complete, comminuted cannon fracture”",2019
unidentified, Jun 13, Churchill S – “spontaneously died…compression of the brain”,2019
Lucky Lucy, Jun 13," Churchill T – “fracture, hemorrhage, muscle tearing”",2019
Quicktrickmunny, Jun 13, Churchill T – “fractures [both front legs]”,2019
High Beam, Jun 13, Churchill R – “sudden death – massive pulmonary hemorrhage”,2019
Well Graced, Jun 13," Delaware R – “catastrophic fracture, disarticulation”",2019
Battleofthebulge, Jun 13, private Kentucky track T – “internal hemorrhage”,2019
yet-to-be-named, Jun 13, Lone Star S – “laminitis” (two years old),2019
Dezzer, Jun 13, Parx T – “sudden death” (four years old),2019
Winning Homer, Jun 14, Arlington T (euthanized Jul 20) – “laminitis”,2019
My Majestic Rose, Jun 10-Jun 14, Keeneland T,2019
Sugar Boost, Jun 14, Parx T – “sudden death” (three years old),2019
Tizjohndeersway, Jun 15, Arizona Downs R – “lame left front”,2019
Spicey Corona, Jun 15," Delta R – “neurologic, paresis/paralysis”",2019
Captain N Black, Jun 15," Energy R – “knee, euthanized barn”",2019
unidentified, Jun 15, Golden Gate T – “[multiple] fractures and ruptures”,2019
Hero's Welcome, Jun 15, Laurel R – “both sesamoids fractured”,2019
Soul Seekin, Jun 15, Louisiana R – “acute slab fracture”,2019
Orra Moor, Jun 15, Monmouth R – “was severely injured…euthanized”,2019
Firm, Jun 15, Monmouth R – “collapse on track post-race” (three years old),2019
Easy Livin, Jun 15, Monticello T – “collapsed and died”,2019
Colonel Dax, Jun 15, Penn R – “fractured knee”,2019
American Proud, Jun 15," Ruidoso R – “fractured cannon” (9 years old, 68th race)",2019
Ro Bear, Jun 16, Belmont S – “died in the barn from an apparent impaction colic”,2019
Follow the Petals, Jun 16," Laurel R – “heart attack; fractured spine, both knees”",2019
Senator Tequila, Jun 16, Ruidoso T – “broken back”,2019
Five Bar On the Go, Jun 17," Ruidoso S – “colic” (died, not euthanized; two years old)",2019
Tee Elle Cee, Jun 18," Arapahoe S – “septic R tarsus, opposite limb laminitis”",2019
Pay Back, Jun 18," Mountaineer R – “fell, flipped, neurologic”",2019
Bigger and Better, Jun 18, Mountaineer R – “fractured sesamoids”,2019
Man of Wicklow, Jun 19, Gulfstream T,2019
Kool Yankee, Jun 19," Louisiana R – “displaced, acute sesamoid fracture”",2019
Bless His Heart, Jun 20, Churchill T (euthanized Jun 22) – “rupture with tearing”,2019
Special Results, Jun 20, Delta R – “MCIII fracture”,2019
Imperial Majesty, Jun 20, Gulfstream R – “pulled up in distress”,2019
Archies Gal, Jun 20, Penn T – “fractured ankle”,2019
Joy of the Saints, Jun 20, Pleasanton T – “presumed broken neck”,2019
Rumor Goin Round, Jun 20, Yonkers R – “sustained injury to LH leg”,2019
Jc Big Chief, Jun 21, Fair Meadows R – “right front”,2019
Party Sweets, Jun 21, Gulfstream R – “pulled up in distress”,2019
Flossie, Jun 21, Gulfstream R,2019
Secret Agent Girl, Jun 22," Albuquerque T – “collapsed on racetrack, sudden death”",2019
Tomb Robber, Jun 22, Charles Town R (euthanized Jun 27) – “slab fracture”,2019
Jess El Chamaco, Jun 22," Energy R – “shoulder, euthanized track”",2019
Give Me a Reason V, Jun 22," Ruidoso S – “colic” (two years old, yet to be raced)",2019
Ace Flyer, Jun 22, Ruidoso R – “radius fracture in starting gate”,2019
American Currency, Jun 22," Santa Anita T – “sesamoid fractures, suspensory rupture”",2019
Pomera, Jun 23," Belterra R – “rupture, complete dislocation of fetlock joint”",2019
Doc Brown, Jun 23, Emerald T – “fractures both front legs” (three years old),2019
Divinesilverlining, Jun 24, Arapahoe R – “fractured shoulder”,2019
Vegas Show Girlie, Jun 25, Indiana T – “laceration” (being prepped for first race),2019
Vidarr, Jun 25, Parx R – “fractured knee”,2019
Hibachi, Jun 26, Hoosier T – “fracture”,2019
Tendowningstreet, Jun 26, Mountaineer R – “fractured sesamoids”,2019
Longstreak, Jun 27, Charles Town T – “shoulder fracture”,2019
After Jody, Jun 27, Delaware R – “[multiple] catastrophic fractures”,2019
D W Washburn, Jun 27, Evangeline R – “sesamoid fracture”,2019
Rockin Rudy, Jun 27, Prairie R – “condylar”,2019
New Dancer, Jun 28, Arlington T (euthanized Jun 29) – “[multiple] sesamoid fractures”,2019
With Caution, Jun 28, Belmont T – “P1 fracture…died from complications”,2019
Oreosong, Jun 28, Emerald R – “fetlock joint luxation”,2019
Crazy for Sofia, Jun 28, Gulfstream T,2019
Rebel Rouser, Jun 28," Prairie R – “condylar, suspensory, sesamoids”",2019
Tomy, Jun 29, Albuquerque T – “collision with loose horse”,2019
Will Call, Jun 29, Churchill R – “collapsed and died – massive hemorrhage”,2019
Ap Bear Lake, Jun 29," Energy R – “dislocated ankle, euthanized track”",2019
Smart Return, Jun 29, Gulfstream R,2019
Hot Sriracha, Jun 29, Laurel R – “catastrophic shattering of the cannon bone”,2019
Rove, Jun 29, Parx R – “fractured ankle”,2019
Royal Ransom, Jun 29," Suffolk R – “compound, comminuted fracture of metacarpus”",2019
Fancy Persuasion, Jun 30, Belmont R – “went down dead on the track” (two years old),2019
Destructive Flo, Jun 30, Delaware T – “most likely acute pulmonary hemorrhage”,2019
Giagantibug, Jun 30, Fair Meadows R – “shoulder fracture”,2019
F J Uncle Vic, Jun 30, Lone Star R (euthanized Jul 4) – “chondritis” (63rd race),2019
Baby Cat, Jun 30," Parx S – “colic” (87 races, most recent May 25)",2019
No New Friends, Jun 30, Pleasanton R – “[multiple] fractures and ruptures”,2019
unidentified, Jul 1, Delaware T – “sudden death”,2019
Daybreaker, Jul 1, Parx R – “fractured cannon”,2019
Gerard N Mo, Jul 1, Pocono T – “fractured ankle”,2019
Seeknthegiantpearl, Jul 3, Churchill T – “[multiple] fractures; [multiple] ruptures”,2019
Avery Lynn, Jul 3, Louisiana R (euthanized Jul 4) – “unknown – Grade 3 lame”,2019
Coleman Rocky, Jul 3, Mountaineer R (euthanized Jul 29) – “condyle fracture”,2019
Believemejustwatch, Jul 3, Presque Isle R – “fractured knee”,2019
Gattino Marrone, Jul 3, Saratoga T – “fractured sesamoids – euthanized”,2019
Buck Snort, Jul 4, Arlington R – “sesamoid fractures with DSL rupture”,2019
Proud as Punch, Jul 4, Keeneland T – “complete fracture of humerus”,2019
Joey Flash, Jul 4," Monmouth T – “compound, comminuted ankle fracture”",2019
Machine Learning, Jul 4, Monmouth R – “[multiple fractures with] avulsion”,2019
Paganini, Jul 4, Monmouth R (euthanized Jul 5) – “sesamoid fracture”,2019
Sugar Shaker, Jul 5," Fair Meadows R – “flipped in gate, hit head”",2019
Pilotoshinning, Jul 6," Delta R – “compound, open fracture”",2019
Watyurname, Jul 6," Ruidoso R – “fractured shoulder, severe hemorrhage”",2019
Dashing Star, Jul 7, Arizona Downs T – “spinal injury”,2019
Conquest Typhoon, Jul 7, California S – “cardiac arrest” (seven years old),2019
Audacious Sadie, Jul 7, Emerald S – “cecal impaction” (two years old),2019
Metallic, Jul 7," Monmouth R – “on track, 3/8 pole”",2019
Sandra Smiles, Jul 7, Pleasanton T – “sudden death” (two years old),2019
Get Loud, Jul 7," Wyoming R – “ankle, euthanized barn”",2019
Florida Man, Jul 9, Gulfstream T,2019
Six Shooter, Jul 9, Indiana T – “fractured pastern”,2019
Diamonds for Jack, Jul 9, Monmouth T – “comminuted condylar fracture”,2019
Dash For The Cash, Jul 9, Monticello R – “died following 2nd place win”,2019
Pastorelli, Jul 9, Mountaineer R – “sesamoids fracture”,2019
Ella Minnow P, Jul 9, Presque Isle T – “fractured shoulder” (being prepped for 1st race),2019
Ransom Note, Jul 10, Finger Lakes R – “fractured 3rd carpel”,2019
Good Boy Lucas, Jul 10, Mountaineer – “laminitis both front feet”,2019
yet-to-be-named, Jul 11, Belmont T – “fractured sesamoids – euthanized”,2019
unidentified, Jul 11, Golden Gate S – “trailer accident; suspect septicemia”,2019
Pal Play, Jul 11, Lone Star R – “cannon fracture” (first race),2019
unidentified, Jul 11," Los Alamitos S – “severe, chronic pleuropneumonia”",2019
D Emcee, Jul 12, Finger Lakes T – “fractured sesamoid necessitating euthanasia”,2019
Unsuspected, Jul 12, Charles Town R – “multiple fractures”,2019
She'sakittykat, Jul 12, Finger Lakes S – “laminitis”,2019
Respuesta Global, Jul 12, Presque Isle S – “illness” (yet to be raced),2019
Cyns of D Money, Jul 12, Ruidoso R – “fractured sesamoids”,2019
Afterwhile Crocodile, Jul 12, Sandy R,2019
Fight Night, Jul 12, Saratoga R – “fell heavily after the wire…euthanized on track”,2019
Montezuma Ridge, Jul 13, Arapahoe S – “found dead in stall with trauma”,2019
Stand With Honor, Jul 13," Arlington R- “open, sesamoids fractures, DSL rupture”",2019
All Right, Jul 13, Indiana R – “fractured shoulder”,2019
Amazing Start, Jul 13, Penn R – “fractured ankle”,2019
Mh Mean Eyed Cat, Jul 14, Fair Meadows R – “fractured sesamoid”,2019
Hot Gal, Jul 14, Gulfstream T,2019
Monkey Money, Jul 14, Gulfstream T,2019
Brush, Jul 14, Gulfstream W T,2019
Jerseymooseisloose, Jul 14," Monmouth R – “sesamoids fracture, suspensory failure”",2019
Jess Moonflash, Jul 14, Ruidoso R – “compound fracture both front fetlocks”,2019
Total Fidelity, Jul 14, Saratoga T – “fracture to LF sesamoids – euthanized”,2019
Prairie Cruisin, Jul 15, Arapahoe T – “fell after work – fractured shoulder”,2019
Fabulous Prince, Jul 15," Finger Lakes R – “flipped in the gate, skull fracture”",2019
Smoklahoma, Jul 15, Lone Star T – “condylar fracture”,2019
Overlord, Jul 15, Saratoga S – “colonic rupture”,2019
Classy Dragon, Jul 16," Freehold T – “knee, ankle”",2019
Moonliteonthebeach, Jul 16, Harrah’s T – “fractured LH”,2019
Your All That, Jul 16, Penn S – “infection”,2019
Doc Machen, Jul 17, Mountaineer T – “comminuted MCIII fracture”,2019
Charge a Bunch, Jul 18, Del Mar T – “head-on collision”,2019
Carson Valley, Jul 18, Del Mar T – “head-on collision”,2019
Fairy Goddess, Jul 18, Gulfstream T,2019
Freespin N, Jul 18, Monticello R – “broke down in stretch – euthanized”,2019
Neverenoughkandi, Jul 18, Penn R – “fractured ankle”,2019
Hey Willie, Jul 19, Charles Town R – “sudden death”,2019
Luckycuba, Jul 19, Delaware S – “found dead with blood and foam at the nostrils”,2019
Flying With Scissors, Jul 19, Fair Meadows R – “fractured [leg]”,2019
Scouting, Jul 19," Laurel R – “large, displaced sesamoid fracture”",2019
Maximum Volume, Jul 19, Prairie R – “sudden death” (three years old),2019
Stylistic, Jul 19, Ruidoso R – “compound fracture cannon”,2019
Carolina Jasmine, Jul 20," Lone Star R – “fetlock, both sesamoids”",2019
Cuervo Foose, Jul 20," Los Alamitos R – “[shoulder] fracture, severe hemorrhage”",2019
